title,company_type,company_size,skills,additional,views_count,english_level
Програміст 1C,Роздрібна торгівля;,50–250 співробітників,", Користувач 1С, Користувач BAS, 1С:Управління торгівлею","Повна зайнятість, неповна зайнятість. Досвід роботи від 2 років. Вища освіта.",1,
Middle Laravel Developer,IT;,10–50 співробітників,", Laravel, PHP, MySQL, Git","Повна зайнятість, неповна зайнятість. Також готові взяти студента. Досвід роботи від 2 років.",1,Англійська — середній
React Native developer,IT;,10–50 співробітників,", React Native, TypeScript, JSON, REST API, JavaScript, React, AJAX, jQuery, Xcode, Gradle, WebSocket",Повна зайнятість. Досвід роботи від 1 року.,1,
Back-end програміст,Роздрібна торгівля;,менше 10 співробітників,", PHP, Git, Bootstrap, jQuery, Laravel, nginx, Bladder catheterization, Author's supervision, PHP-FPM",Повна зайнятість. Досвід роботи від 2 років.,1,
MediaWiki Developer,"Маркетинг, реклама, PR;",10–50 співробітників,", mediawiki, semantic mediawiki, Wiki Development, Wikipedia",Неповна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,Англійська — вище середнього
Middle Web Developer (Shopify),"Маркетинг, реклама, PR;",10–50 співробітників,", CSS, JavaScript, HTML, Git, Адаптивна верстка, Розробка сайтів, Розробка сайтів на Shopify, Liquid",Неповна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,Англійська — вище середнього
Full Stack Web Developer,IT;,10–50 співробітників,", CSS, JavaScript, HTML, PHP, MySQL, WordPress, Git, Bootstrap, AJAX, SEO, JSON, jQuery, AWS, phpMyAdmin, UI-дизайн, UX-дизайн, WooCommerce",Повна зайнятість. Досвід роботи від 1 року.,1,
Trainee Flutter Developer,IT;,менше 10 співробітників,,"Повна зайнятість. Також готові взяти студента, людину з інвалідністю.",1,
Back-end Developer (C#/.NET),"Пошук персоналу, HR;",менше 10 співробітників,", C#, REST API, Робота з базою даних, Entity Framework, SOLID Principles, Rust",Повна зайнятість. Досвід роботи від 2 років.,1,
PHP-програміст (Laravel),IT;,10–50 співробітників,", CSS, HTML, PHP, MySQL, Git, Bootstrap, jQuery, Знання принципів ООП, Laravel, Docker, Знання принципів MVC, Yii, Symfony, Backend-розробка",Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року.,1,
Backend Developer (PHP),Державні організації;,50–250 співробітників,", MS Office, PHP, MySQL, SQL, Microsoft 365, Git, Jira, PostgreSQL, XML, JSON, Знання принципів ООП, Laravel, MongoDB, Docker, nginx, REST API, REST, Redis, Elasticsearch, SOLID Principles",Повна зайнятість. Досвід роботи від 2 років.,1,
Програміст 1C,IT;,менше 10 співробітників,", Користувач 1С, 1С:Підприємство, Програмування, Програмування 1С, 1С УТП","Повна зайнятість, неповна зайнятість. Досвід роботи від 2 років. Вища освіта.",1,
Front-end Developer,IT;,менше 10 співробітників,", Figma, JavaScript, HTML, CSS, SASS, Комунікабельність, Відповідальність, jQuery, Content Management System, Vue.js, Здатність до навчання, Верстка, Адаптивна верстка, Семантична верстка, Уважність, SVG, Pixel Perfect","Повна зайнятість, неповна зайнятість. Досвід роботи від 2 років.",1,
Middle level PHP/Laravel Developer,IT;,10–50 співробітників,", PHP, MySQL, PostgreSQL, Communicability, Laravel, REST, Backend development, SOLID Principles",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,Англійська — просунутий
"Junior React Native Developer, Front-End розробник",IT;,10–50 співробітників,", Дизайн",Повна зайнятість.,1,Англійська — вище середнього
Manual QA software engineer,"Маркетинг, реклама, PR;",менше 10 співробітників,", Agile, Комунікабельність, Відповідальність, Написання тест-кейсів, Написання bug reports, Ручне тестування, Знання методології розробки ПЗ, Написання тест-репортів, Регресійне тестування, Ведення звітності, UI-дизайн, Software testing tools, Автоматизоване тестування, Тестування ПЗ",Повна зайнятість. Досвід роботи від 2 років.,1,
Front-end програміст,IT;,менше 10 співробітників,", Figma, PHP, Bootstrap, JavaScript, HTML, CSS, SEO, jQuery, Верстка, Frontend-розробка","Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана. Досвід роботи від 1 року.",1,
"PHP developer (Trainee, Junior)",IT;,10–50 співробітників,", PHP, Laravel, Docker, Redis, Symfony, RabbitMQ, Надійність, Бажання вчитися і розвиватися",Повна зайнятість. Також готові взяти студента.,1,Англійська — вище середнього
WordPress Developer,IT;,50–250 співробітників,", JavaScript, PHP, MySQL, SQL, WordPress, HTML, CSS, React, jQuery, Vue.js, WooCommerce, Адаптивность, ACF, Продуктивность",Повна зайнятість. Досвід роботи від 2 років.,1,
IOS Applications Developer for utilities/games (any tech stack),IT;,10–50 співробітників,", iOS-розробка, iOS SDK, Mobile application design, SwiftUI, Unity, React Native, Flutter","Повна зайнятість, неповна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана, пенсіонера. Досвід роботи від 1 року.",1,
Middle/Senior React Native Developer,IT;,10–50 співробітників,,Повна зайнятість. Досвід роботи від 2 років.,1,
Backend developer,IT;,менше 10 співробітників,", JavaScript, Node.js, Програмування, Backend-розробка","Повна зайнятість, неповна зайнятість. Також готові взяти студента. Досвід роботи від 1 року.",1,
BIM developer-programmer (Mid-level),"Будівництво, архітектура, дизайн інтер'єру;",50–250 співробітників,", BIM, Autodesk Platform Services, ArchiCAD, Revit Dynamo, Python programming, machine learning, AutoCAD or ZWCAD, Autodesk Revit, C# programming",Повна зайнятість. Досвід роботи від 2 років.,1,Англійська — вільно
Unity Hypercasual Game Developer,IT;,менше 10 співробітників,", C#, Знання принципів ООП, Unity","Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана. Досвід роботи від 1 року.",1,
Middle Frontend developer,IT;,10–50 співробітників,", JavaScript, React, TypeScript, Знання методології БЕМ, Програмування, Frontend-розробка, MobX, Material UI, SOLID Principles, React Query",Повна зайнятість. Досвід роботи від 2 років.,1,
"Middle Fullstack developer (Laravel, React)",IT;,10–50 співробітників,,Повна зайнятість. Досвід роботи від 2 років.,1,
Full Stack C#/.Net Developer,IT;,50–250 співробітників,", CSS, JavaScript, HTML, SQL, Git, Python, C++, C#, React, Відповідальність, Знання принципів MVC, Робота з базою даних, Frontend-розробка",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,
Junior (Trainee) Software Developer,IT;,50–250 співробітників,,Повна зайнятість. Також готові взяти студента.,1,
WordPress-програміст,IT;,10–50 співробітників,", CSS, JavaScript, HTML, PHP, MySQL, WordPress, Bootstrap, Gulp, SASS, webpack, Верстка, Адаптивна верстка, WooCommerce, Elementor, ACF, Website development",Повна зайнятість. Досвід роботи від 2 років.,1,
PHP Web Developer (Middle),IT;,10–50 співробітників,", PHP, MySQL, WordPress, Git, OpenCart, SEO, Відповідальність, Laravel, Робота в команді, Здатність до навчання",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,"Українська — вільно, англійська — середній"
"Backend Node.js developer, програміст",IT;,менше 10 співробітників,", Git, JavaScript, Node.js, Backend-розробка, SQL","Повна зайнятість, неповна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана. Досвід роботи від 1 року.",1,
Software Engineer (Intern),IT;,10–50 співробітників,,"Повна зайнятість, неповна зайнятість. Також готові взяти студента. Незакінчена вища освіта.",1,
Embedded-розробник радіоелектроніки,Машинобудування;,10–50 співробітників,", Дизайн, Altium Designer, Розробка друкованих плат","Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана. Досвід роботи від 1 року.",1,
"Розробник чат-ботів, мобільних додатків (на PHP)",IT;,менше 10 співробітників,", PHP, чат боти, мобільні додатки, Створення чат-ботів",Повна зайнятість. Також готові взяти людину з інвалідністю. Досвід роботи від 2 років.,1,
Junior .NET C# Developer,IT;,10–50 співробітників,", SQL, PostgreSQL, XML, Знання принципів MVC, MS SQL Server, WPF, Entity Framework, LINQ, Windows Forms, RabbitMQ, MS Azure",Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року.,1,Англійська — середній
WordPress developer,IT;,менше 10 співробітників,", CSS, Figma, HTML, PHP, MySQL, WordPress, Git, JavaScript, Gulp, webpack, WooCommerce",Повна зайнятість. Досвід роботи від 1 року.,1,
WordPress developer,IT;,менше 10 співробітників,", CSS, Figma, HTML, PHP, MySQL, WordPress, Git, JavaScript, Gulp, webpack, WooCommerce",Повна зайнятість. Досвід роботи від 1 року.,1,
Розробник сайтів,IT;,менше 10 співробітників,", CSS, JavaScript, HTML, PHP, WordPress, OpenCart, Комунікабельність, Content Management System, Робота в команді, Дизайн, Креативність, Розробка сайтів, Бажання вчитися і розвиватися","Повна зайнятість. Також готові взяти студента, людину з інвалідністю.",1,"Українська — вільно, англійська — середній"
Інженер-програміст,Послуги для населення та бізнесу;,більше 1000 співробітників,", JavaScript, PHP, MySQL, SQL, Git, HTML, Python, CSS, C++, C#",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,
"Програміст 1С, BAS",IT;,менше 10 співробітників,", Користувач 1С, 1С:Підприємство, Комунікабельність, Організованість, Користувач BAS, Пунктуальність, Програмування, Чесність, Доброзичливість","Повна зайнятість. Також готові взяти людину з інвалідністю, ветерана. Досвід роботи від 2 років. Вища освіта.",1,
Trainee Front-end developer,"Пошук персоналу, HR;",10–50 співробітників,", Робота в команді, Уважність, Креативність, Бажання вчитися і розвиватися",Повна зайнятість. Також готові взяти студента.,1,
"Junior web, fullstack-разработчик","Будівельна промисловість, деревообробка;",50–250 співробітників,", CSS, JavaScript, HTML, Робота в команді, Розробка сайтів, Бажання вчитися і розвиватися",Повна зайнятість.,1,
"Програміст, розробник типових рішень BAS","Неприбуткові, благодійні та громадські організації;",10–50 співробітників,,Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
"Middle Full Stack Developer (PHP, layout)","Пошук персоналу, HR;",менше 10 співробітників,", CSS, JavaScript, HTML, PHP, MySQL, Git, SASS, Відповідальність, Знання принципів ООП, webpack, Laravel, MongoDB, Знання принципів MVC, TypeScript, npm, Composer, ECMAScript, менеджемент команди, Google Analytics",Повна зайнятість. Досвід роботи від 2 років.,1,Англійська — середній
PHP developer,IT;,10–50 співробітників,", CSS, JavaScript, HTML, PHP, MySQL, Bootstrap, AJAX, Коммуникабельность, Ответственность, Знание принципов ООП, Программирование, Надежность",Повна зайнятість. Досвід роботи від 2 років.,1,
Junior Wordpress Developer,IT;,10–50 співробітників,", CSS, Adobe Photoshop, Adobe Illustrator, Figma, HTML, PHP, MySQL, WordPress, Bootstrap, Adobe",Повна зайнятість. Також готові взяти студента.,1,
Frontend Magento Developer,IT;,50–250 співробітників,", CSS, JavaScript, HTML, Git, AJAX, React, XML, LESS, jQuery, Content Management System, Magento, Верстка, Дизайн, Frontend-розробка, Vagrant, Memcached",Повна зайнятість. Досвід роботи від 1 року.,1,Англійська — вище середнього
Backend Magento developer,IT;,50–250 співробітників,", CSS, JavaScript, PHP, AJAX, XML, jQuery, Знання принципів ООП, REST, Redis, Magento, Composer",Повна зайнятість. Досвід роботи від 1 року.,1,Англійська — вище середнього
Backend .Net/C# developer,IT;,10–50 співробітників,", SQL, Git, GitHub, Jira, C#, XML, JSON, Scrum, Responsibility, Organizedness, Docker, Knowledge of MVC principles, ASP.NET MVC, TypeScript, NUnit, MS Visual Studio, Programming, Work with the database, Entity Framework, LINQ, AWS, MS Azure, Web API, xUnit, PayPal","Повна зайнятість, неповна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана, пенсіонера. Досвід роботи від 2 років. Незакінчена вища освіта.",1,"Англійська — початковий, російська — середній, українська — середній"
PHP Symfony developer,IT;,10–50 співробітників,", PHP, Docker, Redis, Symfony, RabbitMQ",Повна зайнятість. Також готові взяти студента. Досвід роботи від 2 років.,1,
WordPress Developer,IT;,менше 10 співробітників,", Wordpress Developer, Shopify Developer",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,Англійська — вище середнього
"Full Stack Developer (Node, React)",IT;,10–50 співробітників,", JavaScript, React, Node.js, REST API, Material UI",Повна зайнятість. Досвід роботи від 2 років.,1,Англійська — просунутий
"Програміст (PHP, Laravel)",Готельно-ресторанний бізнес;,менше 10 співробітників,", CSS, JavaScript, HTML, PHP, MySQL, Git, GitHub, Laravel, linux","Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана. Досвід роботи від 2 років.",1,
Unity 3D-розробник,IT;,10–50 співробітників,", C#, Unity, Програмування, Продуктивність, Комунікабельність",Повна зайнятість. Також готові взяти студента. Незакінчена вища освіта.,1,
Програміст з Java Spring Boot та Angular,"Пошук персоналу, HR;",10–50 співробітників,", Java, HTML, CSS, Spring Boot, Angular, Програмування, Креативність",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,"Польська — початковий, англійська — початковий"
"Інженер-програміст MS SQL, C#, .Net","Маркетинг, реклама, PR;",250–1000 співробітників,", SQL, C#, MS SQL Server, Програмування, Уважність, Самоосвіта",Повна зайнятість. Досвід роботи від 5 років. Вища освіта.,1,
Strong Junior Ruby developer,IT;,10–50 співробітників,", Уважність, Ruby, Ruby on Rails, RSpec, Бажання вчитися і розвиватися","Повна зайнятість, неповна зайнятість. Також готові взяти студента. Досвід роботи від 1 року.",1,
Web-developer (PHP),"Видавництво, поліграфія;",250–1000 співробітників,", CSS, JavaScript, HTML, PHP, MySQL, Git, AJAX, OpenCart, JSON, jQuery, Знання принципів ООП, Content Management System, Програмування",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,Англійська — середній
"Програміст 1С 8, BAS",IT;,10–50 співробітників,", Користувач 1С, Ведення бухгалтерського обліку, Користувач BAS, Програмування, Програмування 1С, Програмування BAS",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Backend/Fullstack Developer,IT;,менше 10 співробітників,", JavaScript, Python, Node.js, HTTP, Backend-розробка","Повна зайнятість, неповна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана, пенсіонера. Досвід роботи від 2 років.",1,
Front-end програміст,"Маркетинг, реклама, PR;",10–50 співробітників,", Figma, JavaScript, PHP, Git, HTML, CSS, Gulp, AJAX, SASS, LESS, jQuery, webpack, Робота в команді, Програмування, Frontend-розробка",Повна зайнятість. Досвід роботи від 2 років.,1,
"PHP-програміст (Wordpress, SEO-оптимізація)",Послуги для населення та бізнесу;,менше 10 співробітників,", CSS, JavaScript, HTML, PHP, MySQL, WordPress, OpenCart, SEO, Laravel, Yii, Програмування, Symfony, Backend-розробка","Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана. Досвід роботи від 2 років.",1,
.NET Full Stack Developer (Middle),"Пошук персоналу, HR;",менше 10 співробітників,", CSS, HTML, SQL, JavaScript, C#, Відповідальність, Комунікабельність, Знання принципів ООП, MS SQL Server, Entity Framework, Web API, Розробка API",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,Українська — просунутий
"PHP розробник Yii2, верстальник",IT;,10–50 співробітників,", CSS, Figma, JavaScript, HTML, PHP, MySQL, SQL, WordPress, Git, React, jQuery, Знання принципів ООП, Content Management System, Node.js, MS SQL Server, Vue.js, REST API, Yii, Верстка, Адаптивна верстка, Дизайн, UI-дизайн, UX-дизайн, Надійність, SASS",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,Англійська — вище середнього
"Програміст 1C, BAS ERP (виробниче підприємство)","Пошук персоналу, HR;",менше 10 співробітників,", Ведення бухгалтерського обліку, Користувач BAS, Програмування, Програмування 1С",Повна зайнятість. Досвід роботи від 2 років.,1,
Front-End Developer,IT;,10–50 співробітників,", JavaScript, PHP, MySQL, Git, Bootstrap, HTML, CSS, Gulp, AJAX, SASS, LESS, Відповідальність, jQuery, Робота в команді, Vue.js, Уважність, Frontend-розробка, Ініціативність, Почуття гумору",Повна зайнятість. Також готові взяти студента. Досвід роботи від 2 років.,1,
Junior Laravel PHP developer,IT;,10–50 співробітників,", JavaScript, PHP, MySQL, Git, GitLab, React, XML, JSON, jQuery, Laravel, Vue.js, REST API, REST, SOAP, Бажання вчитися і розвиватися",Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року.,1,
"Програміст Java, спеціаліст AI (штучний інтелект)",Послуги для населення та бізнесу;,10–50 співробітників,", Бажання вчитися і розвиватися, Застосування штучного інтелекту",Повна зайнятість. Досвід роботи від 1 року.,2,Англійська — вище середнього
"Програміст (PHP, Yii 2, VueJs)",IT;,10–50 співробітників,", PHP, MySQL, JavaScript, Vue.js, Yii, Програмування, Продуктивність, Розробка API, UX-дизайн, UI-дизайн",Повна зайнятість. Досвід роботи від 2 років.,1,
WordPress developer,IT;,10–50 співробітників,", JavaScript, PHP, MySQL, SQL, WordPress, Git, HTML, CSS, SEO, Content Management System, Laravel, Продуктивність",Повна зайнятість. Досвід роботи від 2 років.,1,
Програміст,IT;,менше 10 співробітників,,Неповна зайнятість. Також готові взяти студента. Незакінчена вища освіта.,1,
Back end developer,IT,,", SQL, C#",Повна зайнятість. Досвід роботи від 1 року.,1,
Embedded Software Developer (C/C++),IT;,менше 10 співробітників,", Git, Python, C++, Програмування","Повна зайнятість. Також готові взяти людину з інвалідністю, ветерана. Досвід роботи від 2 років. Вища освіта.",1,
Angular-розробник,IT;,10–50 співробітників,", JavaScript, Git, HTML, CSS, SASS, TypeScript, Angular, Чесність",Повна зайнятість. Досвід роботи від 2 років.,1,
Програміст-розробник 1С,Роздрібна торгівля,,", SQL, Користувач 1С, XML, JSON, MS SQL Server, Користувач ERP-системи, Користувач BAS, Програмування, Програмування 1С, 1С УТП, Налаштування СКД",Повна зайнятість. Досвід роботи від 1 року.,1,
Junior .NET Developer,IT;,менше 10 співробітників,", C#, React, Responsibility, Knowledge of MVC principles, Entity Framework, MS Azure, Next.js, Firebase, .NET Framework, SQL, Azure",Повна зайнятість.,1,Англійська — вище середнього
Програміст,Автобізнес та автосервіс;,10–50 співробітників,", Доброзичливість, Комунікабельність, Знання офісних програм, Відповідальність",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,"Українська — вільно, російська — вільно"
"Frontend (Vue.js, Quasar framework) web developer",IT;,10–50 співробітників,", Vue.js, Quasar framework",Повна зайнятість. Досвід роботи від 1 року.,1,Англійська — середній
Розробник мобільних застосунків,"Фінанси, банки, страхування;",50–250 співробітників,,Повна зайнятість. Досвід роботи від 1 року.,1,
Програміст 1С,"Оптова торгівля, дистрибуція, імпорт, експорт;",250–1000 співробітників,", Користувач 1С, Користувач BAS, Програмування, 1С:Управління торгівлею, Уважність, Програмування 1С, Налаштування СКД",Повна зайнятість. Досвід роботи від 5 років. Вища освіта.,1,
Розробник WordPress,IT;,менше 10 співробітників,", JavaScript, PHP, WordPress, Верстка, Адаптивна верстка, WooCommerce, ACF","Повна зайнятість. Також готові взяти людину з інвалідністю, ветерана. Досвід роботи від 1 року.",1,
Trainee/Junior Low-Code developer,IT;,10–50 співробітників,", Самостійність","Повна зайнятість. Також готові взяти студента, ветерана. Вища освіта.",1,Англійська — вище середнього
"Наладчик ЧПК, програміст, фрезерувальник","Хімічна промисловість, фармацевтика;",50–250 співробітників,", Комунікабельність, Здатність до навчання, Акуратність, Фрезерні роботи, Робота на фрезерному верстаті",Повна зайнятість. Досвід роботи від 2 років.,1,
Linux C Developer,"Пошук персоналу, HR;",менше 10 співробітників,,Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
"Intern/trainee analytic programmer (DAX, M, VBA, SAS, R, Python)","Освіта, наука;",менше 10 співробітників,,"Неповна зайнятість. Також готові взяти студента, людину з інвалідністю. Досвід роботи від 1 року. Незакінчена вища освіта.",1,
Power Apps Developer,IT;,10–50 співробітників,", Project Power App, Power Apps",Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року.,1,Англійська — середній
Програміст C#/.Net,IT;,менше 10 співробітників,", Git, C#, MS Visual Studio, WPF, Entity Framework, Web API, SOLID Principles","Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана. Досвід роботи від 1 року.",1,
WordPress developer,"Пошук персоналу, HR;",менше 10 співробітників,", CSS, JavaScript, HTML, PHP, MySQL, WordPress, Відповідальність, Веб-дизайн, Уважність","Повна зайнятість. Також готові взяти студента, ветерана. Досвід роботи від 1 року.",1,Англійська — середній
"Full-stack developer (PHP), розробник сайтів","Маркетинг, реклама, PR;",менше 10 співробітників,", CSS, JavaScript, PHP, MySQL, WordPress, OpenCart, SEO, Відповідальність, Content Management System, Верстка, Креативність, Розробка сайтів, Бажання вчитися і розвиватися",Повна зайнятість. Досвід роботи від 1 року.,1,
Еmbedded Developer,IT;,менше 10 співробітників,,Повна зайнятість. Досвід роботи від 2 років.,1,Англійська — середній
"Frontend Developer (HTML, CSS, Javascript, Vue)","Маркетинг, реклама, PR;",10–50 співробітників,", CSS, JavaScript, HTML, Git, SASS, LESS, HTTP, Vue.js, REST API, Дизайн, Frontend-розробка",Неповна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,Англійська — середній
"Інженер-програміст (прикладна математика, механіка)",IT;,50–250 співробітників,", Python, C++, Програмування, Проєктування",Повна зайнятість. Також готові взяти студента. Досвід роботи від 2 років. Вища освіта.,1,
"Webmaster, Wordpress Developer",IT;,50–250 співробітників,", CSS, JavaScript, HTML, WordPress, Комунікабельність, Відповідальність, Уважність",Повна зайнятість. Досвід роботи від 2 років.,1,Англійська — середній
IOS Middle Developer,IT;,10–50 співробітників,", Git, Знання принципів ООП, SwiftUI, MVVM, Розуміння архітектури MVP",Повна зайнятість. Досвід роботи від 2 років.,1,
Web developer (державна організація),Державні організації;,50–250 співробітників,", Microsoft 365, Розробка сайтів, HTML, PHP, CSS, Yii, Vue.js, Python, Налаштування Telegram-ботів, Telegram API, Keitaro, WordPress, Elementor",Повна зайнятість. Також готові взяти студента.,1,
Android Middle Developer,IT;,10–50 співробітників,", Git, XML, JSON, Знання принципів ООП, Знання принципів MVC, Kotlin",Повна зайнятість. Досвід роботи від 2 років.,1,
"Дессінатор, дизайнер-програміст трикотажного обладнання",Легка промисловість;,50–250 співробітників,", MS Office, Adobe Photoshop, Adobe Illustrator, CorelDRAW, Adobe, Відповідальність, Програмування, Дизайн, Креативність, Художній смак, Грамотна усна та письмова мова, Ініціативність, Творчий підхід, Орієнтація на результат, Користувач ПК",Повна зайнятість. Також готові взяти студента.,1,
IOS Developer (Gambling),"Маркетинг, реклама, PR;",50–250 співробітників,", Git, REST API, Core Data, UIKit, Cocoa Touch, Cocoa, Продуктивність, OneSignal",Повна зайнятість. Досвід роботи від 2 років.,1,
PHP developer,IT;,50–250 співробітників,", PHP, MySQL, PostgreSQL, Docker, Знання принципів MVC",Повна зайнятість. Досвід роботи від 5 років.,1,
"Middle Full-stack developer (Angular, Node.JS)",IT;,10–50 співробітників,", CSS, JavaScript, SQL, GitHub, HTML, PostgreSQL, JSON, Node.js, TypeScript, MS SQL Server, Angular","Повна зайнятість, неповна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана. Досвід роботи від 2 років.",1,
Full-stack PHP developer,"Оптова торгівля, дистрибуція, імпорт, експорт;",10–50 співробітників,", CSS, JavaScript, HTML, MySQL, Git, Користувач 1С, jQuery, Yii, PHP",Неповна зайнятість. Досвід роботи від 2 років.,2,
Middle Front-End Developer,IT;,10–50 співробітників,", WordPress, Git, JavaScript, HTML, CSS, SASS, React, LESS, Відповідальність, jQuery, Знання принципів ООП, Vue.js, ECMAScript, DOM, Nuxt.js, SOLID Principles",Повна зайнятість. Також готові взяти людину з інвалідністю. Досвід роботи від 2 років.,1,Англійська — вище середнього
Розробник на платформі Creatio,"Пошук персоналу, HR;",10–50 співробітників,,Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
Програміст 1C,IT;,10–50 співробітників,", Користувач 1С, Користувач BAS, Програмування, Програмування 1С, Налаштування СКД",Повна зайнятість. Досвід роботи від 5 років. Вища освіта.,1,
"Strong junior, Middle Python developer (chat-bots, parsing)",Юриспруденція;,10–50 співробітників,", Python, Робота в команді, Пунктуальність, Уважність",Повна зайнятість. Досвід роботи від 1 року. Вища освіта.,1,
Web developer,IT;,10–50 співробітників,", GitHub, AWS","Неповна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана, пенсіонера. Досвід роботи від 5 років.",1,Англійська — початковий
React Front-end developer,IT;,50–250 співробітників,", Adobe Photoshop, Figma, JavaScript, Java, Git, GitFlow, Adobe InDesign, Jira, HTML, CSS, AJAX, React, React Native, React Redux, Відповідальність, jQuery, Redux, Робота в команді, Slack, Здатність до навчання, Bitbucket, Frontend-розробка",Повна зайнятість. Досвід роботи від 5 років. Вища освіта.,1,
IT Team Lead Developer,IT;,50–250 співробітників,,Повна зайнятість. Досвід роботи від 5 років. Вища освіта.,1,Англійська — вище середнього
Drupal (symfony) developer,IT;,10–50 співробітників,", PHP, MySQL, Git, jQuery, Drupal, Composer, Бажання вчитися і розвиватися",Повна зайнятість. Досвід роботи від 2 років.,1,
Team Lead Front-End Developer (Progressive Web App),"Маркетинг, реклама, PR;",10–50 співробітників,", CSS, JavaScript, HTML, React, Комунікабельність, Vue.js, Angular, AngularJS, Маркетинг, Дизайн, Аналітичне мислення, Чесність, Progressive Web App, Affiliate Marketing, Управління командою",Повна зайнятість. Досвід роботи від 5 років. Вища освіта.,1,
Python-программист,Машинобудування;,10–50 співробітників,", JavaScript, MySQL, Python, PostgreSQL, Django, Робота в команді, Програмування, Робота з базою даних, Flask, pandas, SQLAlchemy, asyncio, Threads, aiogram, Aiohttp, Threading",Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року. Вища освіта.,1,
Senior Ruby on Rails Developer,IT;,50–250 співробітників,", Ruby, Ruby on Rails, Responsibility, Work with the database",Повна зайнятість. Досвід роботи від 5 років. Вища освіта.,1,Англійська — вище середнього
"Full-Stack Web Developer (PHP, JavaScript)",IT;,50–250 співробітників,", CSS, HTML, PHP, MySQL, SQL, Git, GitLab, Bootstrap, JavaScript, Відповідальність, jQuery, Laravel, MongoDB, Адміністрування Apache, UX-дизайн, nginx, Vue.js, Yii, Redis, Дизайн, Старанність, Розробка сайтів, AWS, UI-дизайн, Elasticsearch, Memcached, MariaDB, Дисциплінованість, Рефакторинг, Самостійність",Повна зайнятість. Досвід роботи від 5 років. Вища освіта.,1,Англійська — початковий
Front-end developer,"Маркетинг, реклама, PR;",10–50 співробітників,", CSS, JavaScript, HTML, PHP, MySQL, WordPress, Content Management System, SEO, Верстка, Висока працездатність",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
WordPress developer,IT;,10–50 співробітників,", CSS, JavaScript, HTML, PHP, MySQL, WordPress, Git, Комунікабельність, Відповідальність, Самомотивація","Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана, пенсіонера. Досвід роботи від 2 років.",1,
Junior Front-End Developer (Angular 2+),IT;,10–50 співробітників,", CSS, JavaScript, HTML, Git, Node.js, TypeScript, Angular, Angular Material, Frontend-розробка, RxJS, Доброзичливість, NgRx",Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року. Вища освіта.,1,Англійська — вище середнього
"Програміст 1C, BAS",IT;,менше 10 співробітників,", Користувач 1С, Користувач BAS, Програмування, Робота з базою даних, Програмування 1С",Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року. Вища освіта.,1,
"Trainee, Junior Front-End Developer (Vue JS)",IT;,50–250 співробітників,", CSS, JavaScript, HTML, Git, GitHub, React, Комунікабельність, Vue.js, npm, REST, Дизайн, Frontend-розробка, UI-дизайн, Робота в команді, Development tools, Yarn, SOLID Principles",Повна зайнятість. Також готові взяти студента.,1,
"Програміст, аналітик BAS/1С",IT;,менше 10 співробітників,", Почуття гумору",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,1,
"Hardware-інженер, C++ developer",IT;,10–50 співробітників,", Git, Jira, Python, C++, Програмування",Повна зайнятість. Досвід роботи від 2 років.,1,
